"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2014-05-13","85.9","-0.86","5.64","Germano, Justin",449786,430683,"null","swinging_strike",,,,,"5","Carlos Corporan homers (4) on a line drive to right field.    Chris Carter scores.    L.J. Hoes scores.","R","L","R","HOU","TEX","S","null","null","0","0",2014,"-1.04","0.62","-0.23","2.43","474892","null","543321","0","5","Bot","null","null",,,"455139",,"140513_205455",3.61,-125.07,-2.25,-10.15,28.98,-27.51,"3.5","1.62","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","44","1","Sinker","5","0","5","0","0","5","5","0","null","null"
"SL","2014-05-13","78.3","1.54","6","Keuchel, Dallas",596059,572971,"field_out","hit_into_play",,,,,"13","Rougned Odor lines out to center fielder Dexter Fowler.","R","L","L","HOU","TEX","X","8","line_drive","0","0",2014,"-0.47","-0.33","-0.84","1.91","null","null","null","2","5","Top",103.41,81.33,,,"449786",,"140513_204548",-4.57,-114.08,-0.72,-3.09,29.65,-36.73,"3.08","1.4","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","40","1","Slider","4","0","0","4","0","4","0","4","null","null"
"FT","2014-05-13","91.2","1.59","5.78","Keuchel, Dallas",455139,572971,"field_out","hit_into_play",,,,,"4","Robinson Chirinos grounds out, third baseman Matt Dominguez to first baseman Jesus Guzman.","R","R","L","HOU","TEX","X","5","ground_ball","2","2",2014,"1.74","0.63","-0.48","2.08","null","null","null","1","5","Top",101.41,171.69,,,"449786",,"140513_204511",-9.98,-132.38,-4.54,23.8,28.64,-26.79,"3.01","1.37","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","39","6","2-Seam Fastball","4","0","0","4","0","4","0","4","null","null"
"CH","2014-05-13","81.0","-0.49","5.54","Germano, Justin",543321,430683,"single","hit_into_play",,,,,"9","L.J. Hoes singles on a ground ball to third baseman Adrian Beltre.   Jesus Guzman scores.    Chris Carter to 3rd.","R","R","R","HOU","TEX","X","5","ground_ball","2","2",2014,"-1.34","0.54","0.70","1.92","461882","474892","null","0","5","Bot",111.45,185.74,,,"455139",,"140513_205357",5.36,-117.73,-2.16,-12.06,24.25,-28.81,"3.52","1.63","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","0.9","null","1","0","null","43","5","Changeup","4","0","4","0","0","5","5","0","null","null"
"CH","2014-05-13","82.1","-0.62","5.63","Germano, Justin",543321,430683,"null","foul",,,,,"5","L.J. Hoes singles on a ground ball to third baseman Adrian Beltre.   Jesus Guzman scores.    Chris Carter to 3rd.","R","R","R","HOU","TEX","S","null","null","2","1",2014,"-0.96","0.5","0.19","2.22","461882","474892","null","0","5","Bot","null","null",,,"455139",,"140513_205324",3.71,-119.47,-1.78,-8.45,26.2,-29.13,"3.52","1.63","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","43","4","Changeup","4","0","4","0","0","4","4","0","null","null"
"SL","2014-05-13","80.0","1.39","5.85","Keuchel, Dallas",455139,572971,"null","ball",,,,,"13","Robinson Chirinos grounds out, third baseman Matt Dominguez to first baseman Jesus Guzman.","R","R","L","HOU","TEX","B","null","null","1","2",2014,"-0.53","0.1","-1.97","1.12","null","null","null","1","5","Top","null","null",,,"449786",,"140513_204457",-6.74,-116.26,-3.3,-3.73,31.52,-33.05,"3.23","1.47","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","39","5","Slider","4","0","0","4","0","4","0","4","null","null"
"SI","2014-05-13","87.3","-0.22","5.56","Germano, Justin",543321,430683,"null","blocked_ball",,,,,"14","L.J. Hoes singles on a ground ball to third baseman Adrian Beltre.   Jesus Guzman scores.    Chris Carter to 3rd.","R","R","R","HOU","TEX","B","null","null","1","1",2014,"-1.04","0.85","1.43","0.00","461882","474892","null","0","5","Bot","null","null",,,"455139",,"140513_205300",6.16,-126.65,-8.64,-10.31,33.71,-24.98,"3.69","1.62","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","43","3","Sinker","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","90.5","1.69","5.69","Keuchel, Dallas",455139,572971,"null","foul",,,,,"2","Robinson Chirinos grounds out, third baseman Matt Dominguez to first baseman Jesus Guzman.","R","R","L","HOU","TEX","S","null","null","1","2",2014,"2.01","0.39","-0.20","2.52","null","null","null","1","5","Top","null","null",,,"449786",,"140513_204437",-10.09,-131.46,-2.49,26.83,28.63,-29.75,"3.01","1.37","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","39","4","2-Seam Fastball","4","0","0","4","0","4","0","4","null","null"
"FF","2014-05-13","90.4","1.24","5.87","Keuchel, Dallas",455139,572971,"null","called_strike",,,,,"13","Robinson Chirinos grounds out, third baseman Matt Dominguez to first baseman Jesus Guzman.","R","R","L","HOU","TEX","S","null","null","1","1",2014,"0.92","1.73","-1.10","2.16","null","null","null","1","5","Top","null","null",,,"449786",,"140513_204424",-8.55,-131.19,-6.9,12.96,30.93,-13.75,"3.2","1.5","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","39","3","4-Seam Fastball","4","0","0","4","0","4","0","4","null","null"
"CH","2014-05-13","81.3","-0.54","5.64","Germano, Justin",543321,430683,"null","swinging_strike",,,,,"8","L.J. Hoes singles on a ground ball to third baseman Adrian Beltre.   Jesus Guzman scores.    Chris Carter to 3rd.","R","R","R","HOU","TEX","S","null","null","1","0",2014,"-0.86","1.07","0.05","1.92","461882","474892","null","0","5","Bot","null","null",,,"455139",,"140513_205240",2.92,-118.33,-3.38,-7.13,29.97,-23.8,"3.52","1.63","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","43","2","Changeup","4","0","4","0","0","4","4","0","null","null"
"CU","2014-05-13","69.8","-0.89","5.96","Germano, Justin",543321,430683,"null","ball",,,,,"14","L.J. Hoes singles on a ground ball to third baseman Adrian Beltre.   Jesus Guzman scores.    Chris Carter to 3rd.","R","R","R","HOU","TEX","B","null","null","0","0",2014,"1.91","-1.19","0.42","0.93","461882","474892","null","0","5","Bot","null","null",,,"455139",,"140513_205223",-1.12,-101.69,0.72,14.54,24.61,-41.7,"3.57","1.63","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","43","1","Curveball","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","89.1","1.46","5.89","Keuchel, Dallas",455139,572971,"null","foul",,,,,"6","Robinson Chirinos grounds out, third baseman Matt Dominguez to first baseman Jesus Guzman.","R","R","L","HOU","TEX","S","null","null","1","0",2014,"2.16","1.05","0.64","2.23","null","null","null","1","5","Top","null","null",,,"449786",,"140513_204405",-7.48,-129.43,-4.93,27.5,30.96,-22.15,"3.01","1.37","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","39","2","2-Seam Fastball","4","0","0","4","0","4","0","4","null","null"
"FT","2014-05-13","85.9","1.63","6.14","Harrison, Matt",451594,457448,"single","hit_into_play",,,,,"8","Dexter Fowler singles on a ground ball to center fielder Michael Choice.   Jose Altuve scores.    George Springer to 3rd.","R","R","L","HOU","TEX","X","8","ground_ball","2","1",2014,"2.08","0.8","0.27","1.99","null","514888","543807","2","2","Bot",124.5,91.37,,,"455139",,"140513_194854",-8.37,-124.77,-4.96,24.73,27.43,-25.55,"3.54","1.65","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","0.9","null","1","0","null","19","4","2-Seam Fastball","2","0","2","0","0","3","3","0","null","null"
"FF","2014-05-13","88.8","1.54","5.72","Keuchel, Dallas",455139,572971,"null","ball",,,,,"14","Robinson Chirinos grounds out, third baseman Matt Dominguez to first baseman Jesus Guzman.","R","R","L","HOU","TEX","B","null","null","0","0",2014,"1.34","1.67","1.00","1.04","null","null","null","1","5","Top","null","null",,,"449786",,"140513_204343",-4.81,-128.89,-8.87,17.45,30.55,-15.06,"3.31","1.51","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","39","1","4-Seam Fastball","4","0","0","4","0","4","0","4","null","null"
"FT","2014-05-13","86.8","1.68","6.2","Harrison, Matt",451594,457448,"null","swinging_strike",,,,,"14","Dexter Fowler singles on a ground ball to center fielder Michael Choice.   Jose Altuve scores.    George Springer to 3rd.","R","R","L","HOU","TEX","S","null","null","2","0",2014,"2.12","0.89","1.23","2.24","null","514888","543807","2","2","Bot","null","null",,,"455139",,"140513_194831",-6.34,-126.11,-4.89,25.83,28.03,-24.47,"3.54","1.65","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","19","3","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"SI","2014-05-13","85.8","-0.58","5.77","Germano, Justin",474892,430683,"double","hit_into_play",,,,,"5","Chris Carter doubles (9) on a line drive to left fielder Shin-Soo Choo.   Jesus Guzman to 3rd.","R","R","R","HOU","TEX","X","7","line_drive","1","0",2014,"-0.64","0.7","-0.21","2.97","null","null","461882","0","5","Bot",51.2,98.39,,,"455139",,"140513_205046",2.05,-124.97,-1.33,-5.68,32.37,-26.74,"3.69","1.81","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","1.25","null","1","1","null","42","2","Sinker","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","86.2","1.64","6.16","Harrison, Matt",451594,457448,"null","ball",,,,,"14","Dexter Fowler singles on a ground ball to center fielder Michael Choice.   Jose Altuve scores.    George Springer to 3rd.","R","R","L","HOU","TEX","B","null","null","1","0",2014,"2.3","0.79","1.39","1.82","null","514888","543807","2","2","Bot","null","null",,,"455139",,"140513_194810",-6.18,-125.24,-5.51,27.51,27.03,-25.6,"3.61","1.79","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","19","2","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"FC","2014-05-13","84.1","1.48","5.84","Keuchel, Dallas",547982,572971,"field_out","hit_into_play",,,,,"8","Leonys Martin bunt grounds out, pitcher Dallas Keuchel to first baseman Jesus Guzman.","R","L","L","HOU","TEX","X","1","ground_ball","1","0",2014,"1.07","0.97","-0.05","1.63","null","null","null","0","5","Top",139.56,178.71,,,"449786",,"140513_204258",-6.42,-122.15,-5.23,13.11,22.94,-23.97,"3.26","1.51","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","38","2","Cutter","4","0","0","4","0","4","0","4","null","null"
"FF","2014-05-13","86.5","-0.46","5.7","Germano, Justin",474892,430683,"null","ball",,,,,"14","Chris Carter doubles (9) on a line drive to left fielder Shin-Soo Choo.   Jesus Guzman to 3rd.","R","R","R","HOU","TEX","B","null","null","0","0",2014,"-0.67","0.91","1.11","1.49","null","null","461882","0","5","Bot","null","null",,,"455139",,"140513_205026",5.09,-125.78,-5.37,-6.09,32.2,-24.4,"3.88","1.96","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","42","1","4-Seam Fastball","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","84.8","1.88","6.17","Harrison, Matt",451594,457448,"null","ball",,,,,"14","Dexter Fowler singles on a ground ball to center fielder Michael Choice.   Jose Altuve scores.    George Springer to 3rd.","R","R","L","HOU","TEX","B","null","null","0","0",2014,"2.13","0.96","1.33","2.15","null","514888","543807","2","2","Bot","null","null",,,"455139",,"140513_194752",-6.42,-123.22,-4.78,24.76,26.26,-24.03,"3.69","1.73","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","19","1","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"SL","2014-05-13","77.7","1.57","5.8","Keuchel, Dallas",547982,572971,"null","ball",,,,,"13","Leonys Martin bunt grounds out, pitcher Dallas Keuchel to first baseman Jesus Guzman.","R","L","L","HOU","TEX","B","null","null","0","0",2014,"-0.42","0.36","-1.27","1.35","null","null","null","0","5","Top","null","null",,,"449786",,"140513_204242",-5.68,-113.12,-2.92,-2.63,24.49,-30.69,"3.12","1.51","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","38","1","Slider","4","0","0","4","0","4","0","4","null","null"
"SI","2014-05-13","85.9","-0.56","5.48","Germano, Justin",461882,430683,"walk","ball",,,,,"14","Jesus Guzman walks.","R","R","R","HOU","TEX","B","null","null","3","1",2014,"-0.76","0.62","0.50","1.31","null","null","null","0","5","Bot","null","null",,,"455139",,"140513_204951",4,-124.97,-4.42,-6.94,34.04,-27.67,"3.65","1.77","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","0.7","null","0","0","null","41","5","Sinker","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","89.0","1.42","6.28","Harrison, Matt",543807,457448,"walk","ball",,,,,"11","George Springer walks.","R","R","L","HOU","TEX","B","null","null","3","2",2014,"1.38","1.31","-0.83","3.47","null","514888","null","2","2","Bot","null","null",,,"455139",,"140513_194640",-9.27,-129.24,-3.36,18.14,30.2,-19.13,"3.58","1.66","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","0.7","null","0","0","null","18","6","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"SI","2014-05-13","85.5","-0.4","5.55","Germano, Justin",461882,430683,"null","ball",,,,,"14","Jesus Guzman walks.","R","R","R","HOU","TEX","B","null","null","2","1",2014,"-1.04","0.82","1.56","1.31","null","null","null","0","5","Bot","null","null",,,"455139",,"140513_204935",6.77,-124.2,-4.93,-9.82,33.77,-25.56,"3.65","1.77","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","41","4","Sinker","4","0","4","0","0","4","4","0","null","null"
"CH","2014-05-13","79.2","1.3","5.77","Keuchel, Dallas",574831,572971,"force_out","hit_into_play",,,,,"8","Michael Choice grounds into a force out, third baseman Matt Dominguez to second baseman Jose Altuve.   Alex Rios out at 2nd.    Michael Choice to 1st.","R","R","L","HOU","TEX","X","5","ground_ball","2","0",2014,"1.93","0.66","-0.19","1.41","null","null","425567","2","4","Top",103.41,164.66,,,"449786",,"140513_202730",-7.72,-114.89,-3.7,19.69,22.19,-27.87,"3.14","1.32","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","32","3","Changeup","3","0","0","3","0","3","0","3","null","null"
"SI","2014-05-13","85.6","-0.41","5.63","Germano, Justin",461882,430683,"null","foul",,,,,"9","Jesus Guzman walks.","R","R","R","HOU","TEX","S","null","null","2","0",2014,"-1.17","0.95","0.44","2.02","null","null","null","0","5","Bot","null","null",,,"455139",,"140513_204910",4.38,-124.5,-3.66,-11.2,35.82,-24.32,"3.5","1.68","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","41","3","Sinker","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","89.8","1.32","5.68","Keuchel, Dallas",574831,572971,"null","ball",,,,,"13","Michael Choice grounds into a force out, third baseman Matt Dominguez to second baseman Jose Altuve.   Alex Rios out at 2nd.    Michael Choice to 1st.","R","R","L","HOU","TEX","B","null","null","1","0",2014,"1.77","0.81","-1.40","0.82","null","null","425567","2","4","Top","null","null",,,"449786",,"140513_202708",-11.57,-130.12,-7.68,23.52,26.17,-24.81,"3.42","1.47","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","32","2","2-Seam Fastball","3","0","0","3","0","3","0","3","null","null"
"CU","2014-05-13","75.9","1.75","6.25","Harrison, Matt",543807,457448,"null","ball",,,,,"14","George Springer walks.","R","R","L","HOU","TEX","B","null","null","2","2",2014,"0.79","-0.63","0.50","0.86","null","514888","null","2","2","Bot","null","null",,,"455139",,"140513_194618",-4.57,-110.5,-2.68,8.07,22.18,-39.13,"3.58","1.59","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","18","5","Curveball","2","0","2","0","0","2","2","0","null","null"
"SL","2014-05-13","80.0","1.26","5.65","Keuchel, Dallas",574831,572971,"null","blocked_ball",,,,,"13","Michael Choice grounds into a force out, third baseman Matt Dominguez to second baseman Jose Altuve.   Alex Rios out at 2nd.    Michael Choice to 1st.","R","R","L","HOU","TEX","B","null","null","0","0",2014,"0.05","0.08","-2.34","-0.32","null","null","425567","2","4","Top","null","null",,,"449786",,"140513_202646",-8.52,-115.91,-6.14,1.71,27.34,-33.25,"3.46","1.51","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","32","1","Slider","3","0","0","3","0","3","0","3","null","null"
"CU","2014-05-13","69.1","-0.96","6.15","Germano, Justin",461882,430683,"null","ball",,,,,"11","Jesus Guzman walks.","R","R","R","HOU","TEX","B","null","null","1","0",2014,"1.94","-1.28","-1.09","3.31","null","null","null","0","5","Bot","null","null",,,"455139",,"140513_204854",-3.98,-100.42,5.34,14.42,24,-42.08,"3.61","1.68","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","41","2","Curveball","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","87.4","1.31","6.18","Harrison, Matt",543807,457448,"null","ball",,,,,"13","George Springer walks.","R","R","L","HOU","TEX","B","null","null","1","2",2014,"2.21","0.83","-1.23","2.09","null","514888","null","2","2","Bot","null","null",,,"455139",,"140513_194555",-11.76,-126.7,-5.18,27.02,28.41,-25.02,"3.62","1.62","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","18","4","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"FT","2014-05-13","88.8","1.46","6.14","Harrison, Matt",543807,457448,"null","called_strike",,,,,"13","George Springer walks.","R","R","L","HOU","TEX","S","null","null","1","1",2014,"1.35","1.43","-0.99","2.40","null","514888","null","2","2","Bot","null","null",,,"455139",,"140513_194534",-9.76,-128.83,-6.05,17.96,26.33,-17.66,"3.65","1.66","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","18","3","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"CH","2014-05-13","78.5","1.5","5.85","Keuchel, Dallas",425567,572971,"single","hit_into_play",,,,,"14","Alex Rios singles on a line drive to center fielder Dexter Fowler.","R","R","L","HOU","TEX","X","8","line_drive","1","0",2014,"1.94","0.89","1.05","2.27","null","null","null","2","4","Top",114.46,83.33,,,"449786",,"140513_202614",-5.31,-114.2,-2.19,19.17,26.01,-25.89,"3.71","1.78","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0.9","null","1","0","null","31","2","Changeup","3","0","0","3","0","3","0","3","null","null"
"SI","2014-05-13","86.1","-0.82","5.73","Germano, Justin",461882,430683,"null","ball",,,,,"11","Jesus Guzman walks.","R","R","R","HOU","TEX","B","null","null","0","0",2014,"-1.32","0.34","-1.54","3.57","null","null","null","0","5","Bot","null","null",,,"455139",,"140513_204836",0.93,-125.39,1.02,-13.1,34.38,-30.59,"3.61","1.68","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","41","1","Sinker","4","0","4","0","0","4","4","0","null","null"
"CH","2014-05-13","78.8","1.47","5.69","Keuchel, Dallas",425567,572971,"null","ball",,,,,"14","Alex Rios singles on a line drive to center fielder Dexter Fowler.","R","R","L","HOU","TEX","B","null","null","0","0",2014,"1.85","1.03","0.66","0.98","null","null","null","2","4","Top","null","null",,,"449786",,"140513_202604",-5.95,-114.54,-5.06,18.51,25.53,-24.58,"4.03","2","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","31","1","Changeup","3","0","0","3","0","3","0","3","null","null"
"FT","2014-05-13","86.3","1.76","6.18","Harrison, Matt",543807,457448,"null","foul",,,,,"6","George Springer walks.","R","R","L","HOU","TEX","S","null","null","1","0",2014,"2.09","1.18","0.73","2.33","null","514888","null","2","2","Bot","null","null",,,"455139",,"140513_194441",-7.64,-125.4,-5.21,25.21,26.62,-21.32,"3.65","1.59","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","18","2","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"SI","2014-05-13","85.8","-0.4","5.66","Germano, Justin",518625,430683,"strikeout","called_strike",,,,,"9","Matt Dominguez called out on strikes.","R","R","R","HOU","TEX","S","2","null","2","2",2014,"-0.84","1.03","0.81","1.63","null","null","451594","2","4","Bot","null","null",,,"455139",,"140513_204010",4.58,-124.73,-5.14,-7.9,28.4,-23.11,"3.65","1.72","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","0","null","0","0","null","37","5","Sinker","4","0","4","0","0","4","4","0","null","null"
"SL","2014-05-13","78.6","1.7","5.93","Keuchel, Dallas",425902,572971,"single","hit_into_play",,,,,"13","Astros challenged (tag play), call on the field was overturned: Prince Fielder singles on a soft line drive to left fielder L.  J. Hoes.  Prince Fielder out at 2nd on the throw, left fielder L.  J. Hoes to third baseman Matt Dominguez.","R","L","L","HOU","TEX","X","7","line_drive","0","1",2014,"-1.05","-0.18","-0.10","1.42","null","null","null","1","4","Top",72.29,134.54,,,"449786",,"140513_202159",-2.11,-114.46,-2.13,-8.52,26.29,-35.5,"3.28","1.57","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0.9","null","1","0","null","30","2","Slider","3","0","0","3","0","3","0","3","null","null"
"CU","2014-05-13","72.4","-0.65","5.92","Germano, Justin",518625,430683,"null","ball",,,,,"14","Matt Dominguez called out on strikes.","R","R","R","HOU","TEX","B","null","null","1","2",2014,"1.88","-1.36","1.29","1.11","null","null","451594","2","4","Bot","null","null",,,"455139",,"140513_203946",0.15,-105.39,0.82,15.78,22.66,-44.01,"3.57","1.69","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","37","4","Curveball","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","87.2","1.49","6.29","Harrison, Matt",543807,457448,"null","ball",,,,,"1","George Springer walks.","R","R","L","HOU","TEX","B","null","null","0","0",2014,"2.1","1.06","-0.62","3.53","null","514888","null","2","2","Bot","null","null",,,"455139",,"140513_194422",-10.41,-126.61,-2.33,25.68,28.67,-22.48,"3.58","1.59","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","18","1","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"FC","2014-05-13","85.4","1.5","5.96","Keuchel, Dallas",425902,572971,"null","called_strike",,,,,"1","Astros challenged (tag play), call on the field was overturned: Prince Fielder singles on a soft line drive to left fielder L.  J. Hoes.  Prince Fielder out at 2nd on the throw, left fielder L.  J. Hoes to third baseman Matt Dominguez.","R","L","L","HOU","TEX","S","null","null","0","0",2014,"0.47","0.85","-0.47","3.11","null","null","null","1","4","Top","null","null",,,"449786",,"140513_202147",-6.17,-124.17,-1.83,6.63,26.61,-25.04,"3.38","1.57","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","30","1","Cutter","3","0","0","3","0","3","0","3","null","null"
"CU","2014-05-13","72.3","-0.79","6.03","Germano, Justin",518625,430683,"null","called_strike",,,,,"14","Matt Dominguez called out on strikes.","R","R","R","HOU","TEX","S","null","null","1","1",2014,"2.19","-1.25","0.84","1.84","null","null","451594","2","4","Bot","null","null",,,"455139",,"140513_203859",-1.09,-105.21,1.86,18.3,21.41,-43.19,"3.58","1.77","null","null","null","null","null","null",381128,430683,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","37","3","Curveball","4","0","4","0","0","4","4","0","null","null"
"FT","2014-05-13","87.8","1.45","6.24","Harrison, Matt",514888,457448,"double","hit_into_play",,,,,"2","Jose Altuve doubles (13) on a line drive to left fielder Shin-Soo Choo.","R","R","L","HOU","TEX","X","7","line_drive","1","1",2014,"1.46","1.71","-0.15","3.06","null","null","null","2","2","Bot",50.2,102.41,,,"455139",,"140513_194339",-7.73,-127.58,-4.99,18.69,28.69,-14.95,"2.97","1.34","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","1.25","null","1","1","null","17","3","2-Seam Fastball","2","0","2","0","0","2","2","0","null","null"
"CH","2014-05-13","79.8","1.8","6.16","Harrison, Matt",514888,457448,"null","called_strike",,,,,"3","Jose Altuve doubles (13) on a line drive to left fielder Shin-Soo Choo.","R","R","L","HOU","TEX","S","null","null","1","0",2014,"2","1.03","0.73","2.66","null","null","null","2","2","Bot","null","null",,,"455139",,"140513_194327",-6.95,-115.89,-2.68,20.62,23.04,-24.24,"2.97","1.34","null","null","null","null","null","null",381128,457448,"455139","425902","596059","134181","462101","425783","574831","425567","50","null","null","null","null","null","null","null","17","2","Changeup","2","0","2","0","0","2","2","0","null","null"
"SL","2014-05-13","81.4","1.53","5.75","Keuchel, Dallas",134181,572971,"field_out","hit_into_play",,,,,"13","Adrian Beltre pops out to shortstop Jonathan Villar.","R","R","L","HOU","TEX","X","6","popup","1","2",2014,"0.14","0.88","-1.07","1.07","null","null","null","0","4","Top",99.4,142.57,,,"449786",,"140513_202114",-6.61,-118.27,-5.34,2.7,26.62,-25.47,"3.48","1.61","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","29","4","Slider","3","0","0","3","0","3","0","3","null","null"
