"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2014-05-13","80.6","1.69","5.44","Keuchel, Dallas",425783,572971,"null","blocked_ball",,,,,"13","Shin-Soo Choo strikes out swinging.","R","L","L","HOU","TEX","B","null","null","1","2",2014,"-0.13","0.18","-0.83","-0.43","null","455139","null","2","8","Top","null","null",,,"449786",,"140513_214110",-5.79,-117.01,-6.47,0.04,24.73,-32.27,"3.11","1.41","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","65","4","Slider","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.1","1.22","5.72","Keuchel, Dallas",425783,572971,"null","swinging_strike",,,,,"13","Shin-Soo Choo strikes out swinging.","R","L","L","HOU","TEX","S","null","null","1","1",2014,"1.78","0.54","-0.83","0.85","null","455139","null","2","8","Top","null","null",,,"449786",,"140513_214043",-9.77,-129.29,-6.88,23.16,28.41,-28.12,"3.16","1.47","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","65","3","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","88.5","1.63","5.76","Keuchel, Dallas",425783,572971,"null","foul",,,,,"6","Shin-Soo Choo strikes out swinging.","R","L","L","HOU","TEX","S","null","null","1","0",2014,"2.01","0.51","0.59","2.41","null","455139","null","2","8","Top","null","null",,,"449786",,"140513_214014",-7.68,-128.69,-2.85,25.56,28.78,-28.48,"3.16","1.47","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","65","2","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.5","1.28","5.9","Keuchel, Dallas",425783,572971,"null","ball",,,,,"13","Shin-Soo Choo strikes out swinging.","R","L","L","HOU","TEX","B","null","null","0","0",2014,"1.81","0.52","-1.16","2.08","null","455139","null","2","8","Top","null","null",,,"449786",,"140513_213954",-10.86,-129.8,-4.23,23.61,29,-28.31,"3.3","1.53","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","65","1","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","78.6","1.52","5.51","Keuchel, Dallas",596059,572971,"strikeout","swinging_strike_blocked",,,,,"13","Rougned Odor strikes out swinging, catcher Carlos Corporan to first baseman Jesus Guzman.","R","L","L","HOU","TEX","S","2","null","1","2",2014,"-0.47","0.21","-1.55","0.42","null","455139","null","1","8","Top","null","null",,,"449786",,"140513_213910",-6.12,-114.31,-4.08,-3.06,28.77,-32.05,"3.08","1.4","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","64","4","Slider","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","77.9","1.42","5.89","Keuchel, Dallas",596059,572971,"null","swinging_strike",,,,,"7","Rougned Odor strikes out swinging, catcher Carlos Corporan to first baseman Jesus Guzman.","R","L","L","HOU","TEX","S","null","null","1","1",2014,"-0.39","-0.15","-0.69","1.64","null","455139","null","1","8","Top","null","null",,,"449786",,"140513_213850",-4.07,-113.49,-1.28,-2.34,31.61,-35.11,"3.08","1.4","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","64","3","Slider","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","77.6","1.49","5.87","Keuchel, Dallas",596059,572971,"null","swinging_strike",,,,,"8","Rougned Odor strikes out swinging, catcher Carlos Corporan to first baseman Jesus Guzman.","R","L","L","HOU","TEX","S","null","null","1","0",2014,"-0.65","-0.14","-0.06","1.71","null","455139","null","1","8","Top","null","null",,,"449786",,"140513_213830",-2.34,-113.03,-1.1,-4.65,29.29,-35.05,"3.08","1.4","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","64","2","Slider","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.9","1.23","6.11","Keuchel, Dallas",596059,572971,"null","ball",,,,,"11","Rougned Odor strikes out swinging, catcher Carlos Corporan to first baseman Jesus Guzman.","R","L","L","HOU","TEX","B","null","null","0","0",2014,"1.71","0.46","-2.03","3.88","null","455139","null","1","8","Top","null","null",,,"449786",,"140513_213813",-12.75,-130.41,-0.05,22.57,30.22,-29,"3.37","1.6","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","64","1","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.8","1.53","5.78","Keuchel, Dallas",455139,572971,"field_error","hit_into_play",,,,,"5","Robinson Chirinos reaches on a fielding error by right fielder George Springer.   Robinson Chirinos to 2nd.","R","R","L","HOU","TEX","X","9","fly_ball","2","2",2014,"2","0.91","0.01","2.23","null","null","null","1","8","Top",183.73,123.49,,,"449786",,"140513_213717",-9.03,-130.38,-4.56,26.38,27.16,-23.61,"3.01","1.37","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0.9","null","0","0","null","63","5","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","80.7","1.47","5.71","Keuchel, Dallas",455139,572971,"null","ball",,,,,"13","Robinson Chirinos reaches on a fielding error by right fielder George Springer.   Robinson Chirinos to 2nd.","R","R","L","HOU","TEX","B","null","null","1","2",2014,"-0.33","0.45","-1.58","-0.07","null","null","null","1","8","Top","null","null",,,"449786",,"140513_213658",-6.53,-117.05,-6.63,-1.95,29.37,-29.75,"3.16","1.39","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","63","4","Slider","8","0","0","8","0","8","0","8","null","null"
