"","GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_FL","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"52","ALS201407150","NLS",6,1,1,2,0,".BBX",3,5,"seagk001","L","seagk001","L","rodrf003","R","rodrf003","R","mesod001","freef001","gordd002","frazt001","casts001","harrj002","blacc001","pench001","","","","3/G",FALSE,TRUE,10,6,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,3,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,3,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"cruzn002",10,3,0,0,0,0,0,0,0,52
"53","ALS201407150","NLS",6,1,2,3,0,"BBBB",3,5,"belta001","R","belta001","R","rodrf003","R","rodrf003","R","mesod001","freef001","gordd002","frazt001","casts001","harrj002","blacc001","pench001","","","","W",FALSE,FALSE,5,7,14,TRUE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",1,0,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,53
"54","ALS201407150","NLS",6,1,2,1,0,"BX",3,5,"branm003","L","branm003","L","rodrf003","R","rodrf003","R","mesod001","freef001","gordd002","frazt001","casts001","harrj002","blacc001","pench001","belta001","","","4!3/G",FALSE,FALSE,8,8,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,4,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,1,0,0,43,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"rodrf003","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,4,0,0,0,0,54
"55","ALS201407150","NLS",7,0,0,1,0,"..BX",3,5,"harrj002","R","harrj002","R","hollg001","R","hollg001","R","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","","9/F",TRUE,FALSE,7,9,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,9,"F",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,9,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,9,0,0,0,0,0,0,0,55
"56","ALS201407150","NLS",7,0,1,2,2,"FBSBT",3,5,"blacc001","L","blacc001","L","hollg001","R","hollg001","R","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","","K",FALSE,FALSE,8,1,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,56
"57","ALS201407150","NLS",7,0,2,0,1,"TX",3,5,"pench001","R","pench001","R","hollg001","R","hollg001","R","norrd001","abrej003","altuj001","belta001","ramia003","cespy001","branm003","mossb001","","","","53/G+",FALSE,FALSE,9,2,2,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,5,"G",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,53,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,3,0,0,5,0,0,0,0,57
"58","ALS201407150","NLS",7,1,0,2,2,"..BCBTT",3,5,"norrd001","R","norrd001","R","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","","","K",TRUE,FALSE,2,9,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,0,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,58
"59","ALS201407150","NLS",7,1,1,1,2,"BFFFX",3,5,"ramia003","R","ramia003","R","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","","","E3/G+",FALSE,FALSE,6,1,18,TRUE,TRUE,0,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,3,"G",FALSE,FALSE,"",1,3,"F",0,"N",0,"N",1,0,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,59
"60","ALS201407150","NLS",7,1,1,1,1,"SB>S",3,5,"mossb001","L","mossb001","L","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","ramia003","","","SB2",FALSE,FALSE,9,2,4,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,2,0,0,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"kimbc001","","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,0,0,0,0,0,0,0,0,60
"61","ALS201407150","NLS",7,1,1,1,2,"SB>S.S",3,5,"mossb001","L","mossb001","L","kimbc001","R","kimbc001","R","mesod001","freef001","murpd006","frazt001","casts001","harrj002","blacc001","pench001","","ramia003","","K",FALSE,FALSE,9,2,3,TRUE,TRUE,0,FALSE,FALSE,1,FALSE,FALSE,0,FALSE,FALSE,0,"",FALSE,FALSE,"",0,0,"N",0,"N",0,"N",0,0,2,0,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","kimbc001","",FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"",0,2,0,0,0,0,0,0,0,61
